timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699815171368,1639465,CCF9579B217F,6C1DEBA4241B,-63,-12,-55,-2,38
1699815171429,1379936,CCF9579B223C,6C1DEBA4241B,-60,2,-55,2,37
1699815171439,1639539,CCF9579B217F,6C1DEBA4241B,-63,-12,-60,-2,37
1699815171451,1639561,CCF9579B217F,6C1DEBA4241B,-63,-12,-56,-2,38
1699815171451,1379958,CCF9579B223C,6C1DEBA4241B,-59,2,-52,2,38
1699815171490,1639590,CCF9579B217F,6C1DEBA4241B,-57,-12,-52,-2,39
1699815171505,1380013,CCF9579B223C,6C1DEBA4241B,-60,2,-55,2,37
1699815171505,1639616,CCF9579B217F,6C1DEBA4241B,-63,-12,-60,-2,37
1699815171543,1639645,CCF9579B217F,6C1DEBA4241B,-57,-10,-52,-2,39
1699815171575,1380070,CCF9579B223C,6C1DEBA4241B,-59,2,-52,2,38
1699815171603,1639700,CCF9579B217F,6C1DEBA4241B,-63,-10,-60,0,37
1699815171614,1639722,CCF9579B217F,6C1DEBA4241B,-62,-10,-60,0,37
1699815171622,1380098,CCF9579B223C,6C1DEBA4241B,-49,2,-45,2,39
1699815171624,1380119,CCF9579B223C,6C1DEBA4241B,-59,2,-52,2,38
1699815171636,1380143,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815171692,1380196,CCF9579B223C,6C1DEBA4241B,-59,2,-52,2,38
1699815171716,1380224,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815171742,1380250,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815171786,1639770,CCF9579B217F,6C1DEBA4241B,-62,-10,-56,0,38
1699815171790,1639800,CCF9579B217F,6C1DEBA4241B,-58,-10,-52,0,39
1699815171790,1639826,CCF9579B217F,6C1DEBA4241B,-62,-10,-60,0,37
1699815171790,1639851,CCF9579B217F,6C1DEBA4241B,-62,-10,-60,0,37
1699815171830,1380329,CCF9579B223C,6C1DEBA4241B,-48,2,-46,2,39
1699815171843,1380351,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815171864,1380371,CCF9579B223C,6C1DEBA4241B,-61,2,-55,2,37
1699815171881,1639931,CCF9579B217F,6C1DEBA4241B,-62,-10,-57,0,38
1699815171882,1639954,CCF9579B217F,6C1DEBA4241B,-62,-10,-57,0,38
1699815171883,1639975,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,0,37
1699815171981,1640082,CCF9579B217F,6C1DEBA4241B,-61,-10,-57,0,38
1699815171986,1380480,CCF9579B223C,6C1DEBA4241B,-49,2,-45,2,39
1699815172000,1640111,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,0,37
1699815172000,1380508,CCF9579B223C,6C1DEBA4241B,-61,2,-56,2,37
1699815172088,1640169,CCF9579B217F,6C1DEBA4241B,-59,-10,-52,0,39
1699815172089,1640190,CCF9579B217F,6C1DEBA4241B,-59,-10,-52,0,39
1699815172105,1640216,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,0,37
1699815172111,1380613,CCF9579B223C,6C1DEBA4241B,-62,2,-56,2,37
1699815172135,1640246,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,0,37
1699815172137,1380643,CCF9579B223C,6C1DEBA4241B,-58,2,-53,2,38
1699815172161,1380669,CCF9579B223C,6C1DEBA4241B,-49,2,-45,2,39
1699815172168,1640271,CCF9579B217F,6C1DEBA4241B,-60,-8,-56,0,38
1699815172189,1640300,CCF9579B217F,6C1DEBA4241B,-60,-8,-54,0,38
1699815172212,1640323,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815172239,1640350,CCF9579B217F,6C1DEBA4241B,-59,-8,-52,0,39
1699815172264,1380747,CCF9579B223C,6C1DEBA4241B,-49,2,-46,2,39
1699815172267,1380775,CCF9579B223C,6C1DEBA4241B,-49,2,-45,2,39
1699815172276,1640378,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815172315,1640426,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815172319,1380823,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815172365,1380873,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815172404,1640505,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815172472,1380979,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815172528,1381030,CCF9579B223C,6C1DEBA4241B,-61,2,-55,2,37
1699815172529,1640633,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815172576,1640687,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815172597,1381084,CCF9579B223C,6C1DEBA4241B,-58,2,-53,2,38
1699815172609,1381114,CCF9579B223C,6C1DEBA4241B,-48,2,-46,2,39
1699815172624,1640717,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815172702,1381210,CCF9579B223C,6C1DEBA4241B,-58,2,-53,2,38
1699815172712,1640813,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815172732,1640841,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815172739,1381238,CCF9579B223C,6C1DEBA4241B,-48,2,-46,2,39
1699815172777,1381285,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815172778,1640889,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815172800,1640910,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815172801,1381307,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815172830,1640932,CCF9579B217F,6C1DEBA4241B,-61,-8,-56,0,38
1699815172849,1640960,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815172872,1640982,CCF9579B217F,6C1DEBA4241B,-58,-8,-52,0,39
1699815172880,1381378,CCF9579B223C,6C1DEBA4241B,-58,2,-53,2,38
1699815172899,1641011,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815172938,1641039,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815172984,1641094,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815173011,1641122,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815173014,1381519,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815173036,1381544,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815173045,1641147,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173065,1641177,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173070,1381575,CCF9579B223C,6C1DEBA4241B,-48,2,-45,2,39
1699815173091,1641201,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173115,1641223,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173116,1381620,CCF9579B223C,6C1DEBA4241B,-58,2,-52,2,38
1699815173148,1641249,CCF9579B217F,6C1DEBA4241B,-61,-8,-56,0,38
1699815173164,1641273,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815173196,1381645,CCF9579B223C,6C1DEBA4241B,-61,2,-54,4,37
1699815173196,1381670,CCF9579B223C,6C1DEBA4241B,-58,2,-53,4,38
1699815173197,1381698,CCF9579B223C,6C1DEBA4241B,-48,2,-45,4,39
1699815173211,1641322,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173213,1381720,CCF9579B223C,6C1DEBA4241B,-48,2,-45,4,39
1699815173233,1641344,CCF9579B217F,6C1DEBA4241B,-61,-8,-57,0,38
1699815173245,1381741,CCF9579B223C,6C1DEBA4241B,-61,2,-55,4,37
1699815173261,1381769,CCF9579B223C,6C1DEBA4241B,-48,2,-45,4,39
1699815173275,1641373,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815173319,1641430,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173321,1381827,CCF9579B223C,6C1DEBA4241B,-61,2,-54,4,37
1699815173378,1381883,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173385,1641486,CCF9579B217F,6C1DEBA4241B,-57,-8,-52,0,39
1699815173404,1641515,CCF9579B217F,6C1DEBA4241B,-60,-8,-61,0,37
1699815173425,1381912,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173441,1381936,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173510,1382017,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173519,1641621,CCF9579B217F,6C1DEBA4241B,-60,-8,-56,0,38
1699815173557,1641667,CCF9579B217F,6C1DEBA4241B,-60,-8,-56,0,38
1699815173579,1382086,CCF9579B223C,6C1DEBA4241B,-61,2,-55,6,37
1699815173590,1641690,CCF9579B217F,6C1DEBA4241B,-61,-8,-61,0,37
1699815173624,1641735,CCF9579B217F,6C1DEBA4241B,-59,-8,-56,0,38
1699815173624,1382132,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173649,1641760,CCF9579B217F,6C1DEBA4241B,-58,-8,-52,0,39
1699815173657,1382155,CCF9579B223C,6C1DEBA4241B,-61,2,-55,6,37
1699815173672,1641783,CCF9579B217F,6C1DEBA4241B,-59,-8,-56,0,38
1699815173673,1382180,CCF9579B223C,6C1DEBA4241B,-58,2,-52,6,38
1699815173698,1382206,CCF9579B223C,6C1DEBA4241B,-61,2,-54,6,37
1699815173710,1641809,CCF9579B217F,6C1DEBA4241B,-61,-8,-60,0,37
1699815173727,1641838,CCF9579B217F,6C1DEBA4241B,-59,-8,-56,0,38
1699815173732,1382235,CCF9579B223C,6C1DEBA4241B,-58,2,-53,8,38
1699815173788,1382290,CCF9579B223C,6C1DEBA4241B,-58,2,-53,8,38
1699815173808,1382315,CCF9579B223C,6C1DEBA4241B,-58,0,-52,8,38
1699815173817,1641918,CCF9579B217F,6C1DEBA4241B,-61,-8,-61,0,37
1699815173829,1641940,CCF9579B217F,6C1DEBA4241B,-59,-8,-56,0,38
1699815173859,1641968,CCF9579B217F,6C1DEBA4241B,-59,-10,-51,0,39
1699815173866,1382365,CCF9579B223C,6C1DEBA4241B,-57,0,-53,8,38
1699815173877,1382385,CCF9579B223C,6C1DEBA4241B,-57,0,-52,8,38
1699815173877,1641988,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,0,38
1699815173935,1382440,CCF9579B223C,6C1DEBA4241B,-49,0,-45,8,39
1699815173936,1642014,CCF9579B217F,6C1DEBA4241B,-60,-10,-51,0,39
1699815174031,1382539,CCF9579B223C,6C1DEBA4241B,-57,0,-52,8,38
1699815174039,1642142,CCF9579B217F,6C1DEBA4241B,-58,-10,-54,0,38
1699815174065,1382565,CCF9579B223C,6C1DEBA4241B,-62,0,-56,8,37
1699815174087,1642196,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,0,38
1699815174138,1382643,CCF9579B223C,6C1DEBA4241B,-56,0,-52,8,38
1699815174161,1382665,CCF9579B223C,6C1DEBA4241B,-62,0,-56,8,37
1699815174209,1382695,CCF9579B223C,6C1DEBA4241B,-49,0,-46,8,39
1699815174252,1382742,CCF9579B223C,6C1DEBA4241B,-62,0,-55,8,37
1699815174291,1642246,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,0,38
1699815174347,1382839,CCF9579B223C,6C1DEBA4241B,-63,0,-55,8,37
1699815174358,1642297,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,0,38
1699815174359,1642345,CCF9579B217F,6C1DEBA4241B,-60,-10,-60,0,37
1699815174362,1642371,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,-2,38
1699815174362,1642392,CCF9579B217F,6C1DEBA4241B,-63,-10,-51,-2,39
1699815174363,1642420,CCF9579B217F,6C1DEBA4241B,-63,-10,-51,-2,39
1699815174363,1642442,CCF9579B217F,6C1DEBA4241B,-60,-10,-60,-2,37
1699815174443,1642544,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,-2,38
1699815174540,1382912,CCF9579B223C,6C1DEBA4241B,-56,0,-53,8,38
1699815174542,1382941,CCF9579B223C,6C1DEBA4241B,-50,0,-46,10,39
1699815174545,1642649,CCF9579B217F,6C1DEBA4241B,-57,-10,-56,-2,38
1699815174545,1382989,CCF9579B223C,6C1DEBA4241B,-63,0,-54,10,37
1699815174605,1642676,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,-2,37
1699815174606,1642700,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,-2,38
1699815174610,1642721,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,-2,37
1699815174631,1383045,CCF9579B223C,6C1DEBA4241B,-63,0,-55,10,37
1699815174632,1383098,CCF9579B223C,6C1DEBA4241B,-50,0,-46,10,39
1699815174633,1383118,CCF9579B223C,6C1DEBA4241B,-63,0,-54,12,37
1699815174692,1642793,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,-2,38
1699815174709,1642820,CCF9579B217F,6C1DEBA4241B,-58,-10,-56,-2,38
1699815174744,1642850,CCF9579B217F,6C1DEBA4241B,-64,-10,-51,-2,39
1699815174772,1383270,CCF9579B223C,6C1DEBA4241B,-62,0,-55,14,37
1699815174786,1383294,CCF9579B223C,6C1DEBA4241B,-49,2,-45,14,39
1699815174878,1642977,CCF9579B217F,6C1DEBA4241B,-61,-10,-60,-2,37
